Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,50,4.40,.693,162,1458,1107,13200.0,6183,4400,1697,86,146,.986,38,3,60,3,9
Atlanta Braves,60,4.69,.681,162,1458,1139,12828.0,5959,4276,1593,90,186,.985,-17,-2,-51,0,-2
Baltimore Orioles,48,4.28,.691,162,1458,1133,12912.0,5978,4304,1597,77,134,.987,-9,-1,6,0,8
Boston Red Sox,50,4.65,.680,162,1458,1138,13035.0,6067,4345,1625,97,148,.984,-16,-1,-2,0,-13
Chicago Cubs,50,3.75,.695,162,1458,1053,13152.0,6164,4384,1669,111,120,.982,0,0,6,2,-1
Chicago White Sox,40,4.33,.673,162,1458,1151,13074.0,6041,4358,1582,101,159,.983,-39,-4,-24,-1,-1
Cincinnati Reds,49,4.65,.689,162,1458,1173,13080.0,6072,4360,1622,90,131,.985,-1,0,-15,0,-4
Cleveland Indians,49,3.98,.699,161,1449,1152,12894.0,5905,4298,1528,79,136,.987,41,4,15,0,-2
Colorado Rockies,51,5.21,.668,162,1458,1107,12837.0,6192,4279,1818,95,171,.985,-7,-1,-36,-1,7
Detroit Tigers,47,4.99,.690,161,1449,1103,13023.0,6048,4341,1621,86,165,.986,-13,-1,-4,0,-1
Houston Astros,46,3.81,.701,162,1458,1094,12969.0,6025,4323,1617,85,131,.986,15,1,31,2,1
Kansas City Royals,45,3.96,.701,162,1458,1172,13068.0,6055,4356,1611,88,138,.985,17,2,35,0,10
Los Angeles Angels of Anaheim,51,4.17,.701,162,1458,1058,12966.0,5906,4322,1491,93,108,.984,12,1,-1,0,-5
Los Angeles Dodgers,55,3.67,.692,162,1458,1084,13011.0,6139,4337,1727,75,133,.988,24,2,-1,0,4
Miami Marlins,51,4.19,.694,162,1458,1152,12843.0,5946,4281,1588,77,162,.987,11,1,18,0,-1
Milwaukee Brewers,49,4.55,.679,162,1458,1081,12915.0,6099,4305,1678,116,164,.981,2,0,-35,0,-5
Minnesota Twins,44,4.32,.687,162,1458,1151,12987.0,6052,4329,1637,86,150,.986,-13,-1,-38,-1,2
New York Mets,49,3.78,.697,162,1458,1095,13164.0,6075,4388,1599,88,131,.986,-3,0,-11,0,0
New York Yankees,55,4.31,.685,162,1458,1037,13119.0,6060,4373,1594,93,135,.985,-29,-3,-32,-3,-5
Oakland Athletics,52,4.50,.691,162,1458,1105,13002.0,6102,4334,1642,126,154,.979,-23,-2,-13,0,-10
Philadelphia Phillies,50,4.99,.667,162,1458,1117,12927.0,6011,4309,1585,117,145,.981,-61,-6,-98,-1,1
Pittsburgh Pirates,44,3.68,.679,162,1458,994,13407.0,6459,4469,1868,122,177,.981,-9,-1,24,0,-5
San Diego Padres,46,4.51,.683,162,1458,1070,12963.0,5979,4321,1566,92,138,.985,-20,-2,-20,0,5
Seattle Mariners,51,4.48,.688,162,1458,1059,13167.0,6168,4389,1685,94,155,.985,-31,-3,-61,0,1
San Francisco Giants,48,3.87,.706,162,1458,1155,12999.0,6085,4333,1674,78,145,.987,40,4,30,5,8
St. Louis Cardinals,45,3.24,.688,162,1458,1014,13182.0,6107,4394,1617,96,159,.984,-10,-1,2,-1,-2
Tampa Bay Rays,51,3.96,.701,162,1458,1027,13080.0,5863,4360,1408,95,118,.984,12,1,14,-1,-1
Texas Rangers,57,4.52,.687,162,1458,1094,12984.0,6142,4328,1695,119,169,.981,43,4,-12,-1,2
Toronto Blue Jays,52,4.14,.708,162,1458,1117,12969.0,6003,4323,1592,88,145,.985,55,5,25,0,-4
Washington Nationals,44,3.92,.685,162,1458,1166,12912.0,5927,4304,1533,90,125,.985,4,0,-23,0,-2
League Average,45,4.25,.689,162,1457,1103,13022,6060,4341,1625,94,146,.984,1,0,-7,0,-0
,1343,4.25,.689,4858,43722,33098,390669.0,181812,130223,48759,2830,4378,.984,16,0,-211,0,-4
